"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.p[2, 2]",0.394,0.198,0.056,0.766,1,5011,0.371
"mean.p[3, 2]",0.329,0.083,0.173,0.49,1.01,1850,0.324
"mean.p[4, 2]",0.391,0.197,0.055,0.77,1,5351,0.371
"mean.p[5, 2]",0.294,0.178,0.023,0.647,1,4556,0.26
"mean.p[6, 2]",0.226,0.063,0.112,0.352,1.01,1625,0.22
"mean.p[7, 2]",0.228,0.059,0.12,0.343,1.01,1772,0.224
"mean.p[8, 2]",0.47,0.081,0.316,0.629,1.01,1428,0.469
"mean.p[9, 2]",0.141,0.042,0.066,0.227,1.01,1623,0.136
"mean.p[10, 2]",0.05,0.019,0.019,0.088,1.01,1814,0.047
"mean.p[11, 2]",0.101,0.033,0.045,0.166,1.01,2076,0.097
"mean.p[12, 2]",0.73,0.069,0.59,0.854,1.01,1677,0.735
"mean.p[13, 2]",0.407,0.084,0.242,0.567,1.02,1265,0.403
"mean.p[14, 2]",0.215,0.056,0.114,0.326,1.01,1465,0.21
"mean.p[15, 2]",0.03,0.013,0.009,0.056,1.01,2060,0.027
"mean.p[16, 2]",0.07,0.027,0.025,0.125,1.01,1340,0.066
"mean.p[17, 2]",0.402,0.086,0.242,0.573,1.01,1207,0.398
"mean.p[18, 2]",0.154,0.048,0.068,0.247,1.01,1495,0.15
"mean.p[19, 2]",0.237,0.063,0.124,0.36,1.01,1573,0.232
"mean.p[20, 2]",0.539,0.088,0.369,0.711,1.02,1433,0.54
"mean.p[21, 2]",0.505,0.092,0.327,0.682,1.01,1232,0.504
"mean.p[22, 2]",0.516,0.118,0.299,0.75,1.01,1895,0.514
"mean.p[1, 3]",0.214,0.154,0.011,0.533,1.01,5027,0.174
"mean.p[2, 3]",0.216,0.104,0.046,0.421,1.02,1877,0.197
"mean.p[3, 3]",0.355,0.106,0.161,0.562,1.01,2090,0.349
"mean.p[4, 3]",0.356,0.096,0.176,0.543,1.01,1782,0.349
"mean.p[5, 3]",0.103,0.044,0.033,0.193,1.02,1513,0.095
"mean.p[6, 3]",0.188,0.063,0.073,0.311,1.02,1493,0.18
"mean.p[7, 3]",0.334,0.087,0.166,0.501,1.01,1552,0.328
"mean.p[8, 3]",0.27,0.082,0.116,0.43,1.02,1687,0.262
"mean.p[9, 3]",0.176,0.076,0.05,0.327,1.02,1963,0.164
"mean.p[10, 3]",0.15,0.067,0.044,0.286,1.02,1984,0.138
"mean.p[11, 3]",0.182,0.081,0.049,0.345,1.02,2278,0.168
"mean.p[12, 3]",0.231,0.095,0.069,0.422,1.02,2248,0.219
"mean.p[13, 3]",0.342,0.114,0.141,0.572,1.01,1505,0.331
"mean.p[14, 3]",0.137,0.062,0.033,0.26,1.01,1832,0.127
"mean.p[15, 3]",0.032,0.02,0.004,0.071,1.02,2408,0.027
"mean.p[16, 3]",0.127,0.06,0.033,0.247,1.02,1584,0.116
"mean.p[17, 3]",0.313,0.107,0.123,0.525,1.02,1341,0.302
"mean.p[18, 3]",0.1,0.049,0.027,0.201,1.02,1978,0.091
"mean.p[19, 3]",0.194,0.079,0.058,0.351,1.02,1820,0.183
"mean.p[20, 3]",0.29,0.099,0.118,0.49,1.02,1595,0.281
"mean.p[21, 3]",0.522,0.149,0.239,0.806,1.01,2283,0.522
"mean.p[22, 3]",0.501,0.155,0.195,0.787,1.01,1841,0.5
"mean.p.t[1]",0.181,0.07,0.061,0.321,1.01,3091,0.173
"mean.p.t[2]",0.3,0.079,0.156,0.451,1.01,2441,0.294
"mean.p.t[3]",0.346,0.053,0.244,0.45,1.01,1183,0.343
"mean.p.t[4]",0.27,0.075,0.136,0.417,1.01,2743,0.266
"mean.p.t[5]",0.15,0.062,0.049,0.274,1.01,3171,0.139
"mean.p.t[6]",0.223,0.037,0.151,0.293,1.03,1130,0.22
"mean.p.t[7]",0.263,0.064,0.152,0.395,1.01,2450,0.255
"mean.p.t[8]",0.334,0.045,0.246,0.421,1.03,1141,0.332
"mean.p.t[9]",0.122,0.031,0.066,0.184,1.03,1159,0.118
"mean.p.t[10]",0.084,0.025,0.041,0.134,1.02,1630,0.08
"mean.p.t[11]",0.133,0.033,0.074,0.2,1.02,1737,0.13
"mean.p.t[12]",0.401,0.045,0.313,0.488,1.03,1231,0.399
"mean.p.t[13]",0.296,0.054,0.194,0.404,1.02,997,0.294
"mean.p.t[14]",0.136,0.03,0.081,0.197,1.02,1031,0.133
"mean.p.t[15]",0.027,0.009,0.011,0.045,1.02,1624,0.025
"mean.p.t[16]",0.069,0.024,0.029,0.117,1.02,1120,0.065
"mean.p.t[17]",0.253,0.051,0.158,0.352,1.03,947,0.249
"mean.p.t[18]",0.125,0.028,0.074,0.181,1.02,1062,0.122
"mean.p.t[19]",0.207,0.039,0.135,0.285,1.02,1148,0.204
"mean.p.t[20]",0.367,0.075,0.231,0.517,1.01,1745,0.361
"mean.p.t[21]",0.478,0.067,0.347,0.605,1.01,1119,0.478
"mean.p.t[22]",0.432,0.073,0.287,0.574,1.02,1269,0.431
